nb_im,sp,pc,eig,var,first,second,third,last
50,1,6,0.9599947897341135,2.2325460226374716,mode.dist,h180,tx.contrast,h90.hflip
50,10,1,22.211693509829836,51.65510118565078,c.perim,s.c.perim,perim,solid
50,10,2,7.786873395054171,18.109007895474814,skew.dist,kurt.dist,mean.dist,s.perim
50,10,3,4.917913666025361,11.43700852564037,perim.maj,solid,s.c.perim.perim,area
50,10,4,1.6417455127945282,3.8180128204523904,nb.blobs,tx.gray,tx.3rd.mom,med.dist
50,10,5,1.2261467321244843,2.8515040281964747,med.dist,tx.3rd.mom,mode.dist,s.maj.ax
50,10,6,1.0408689146472216,2.420625382900515,tx.smooth,tx.contrast,mode.dist,s.area
50,2,1,21.75362519319991,50.58982603069742,c.perim,s.c.perim,maj.ax,nb.blobs
50,2,2,8.933863759483623,20.77642734763631,skew.dist,kurt.dist,mean.dist,nb.blobs
50,2,3,4.45252001896421,10.354697718521408,perim.maj,s.c.perim.perim,solid,nb.blobs
50,2,4,1.2474335889854002,2.901008346477672,med.dist,tx.contrast,tx.smooth,nb.blobs
50,2,5,1.1321187241461854,2.6328342422004285,mode.dist,tx.3rd.mom,tx.gray,nb.blobs
50,2,6,0.9999999999999958,2.325581395348825,nb.blobs,tx.3rd.mom,tx.gray,c.perim
50,3,1,20.851179835366292,48.491115896200675,s.c.perim,c.perim,s.perim,med.dist
50,3,2,8.658800942515851,20.13674637794384,skew.dist,kurt.dist,maj.min,c.perim
50,3,3,5.0578189476616515,11.762369645724771,perim.maj,solid,s.c.perim.perim,r.bbox.x
50,3,4,1.6898864444176975,3.9299684753899946,tx.gray,tx.3rd.mom,med.dist,kurt.dist
50,3,5,1.4268154926410113,3.3181755642814217,med.dist,tx.3rd.mom,tx.gray,s.area
50,3,6,1.1606499021414927,2.699185818933704,tx.contrast,nb.blobs,tx.smooth,circ
50,4,1,21.381700307880013,49.72488443693025,c.perim,s.c.perim,maj.ax,nb.blobs
50,4,2,8.17806422198718,19.018754004621343,mean.dist,skew.dist,circ,nb.blobs
50,4,3,5.90781981179714,13.73911584138869,perim.maj,h90.h180,h90.hflip,nb.blobs
50,4,4,1.2988048044307403,3.0204762893738133,tx.3rd.mom,tx.gray,med.dist,nb.blobs
50,4,5,1.0006368440496738,2.3270624280224963,hflip,h90.hflip,tx.smooth,nb.blobs
50,4,6,0.9999999999999842,2.3255813953487996,nb.blobs,hflip,h90.hflip,area.perim
50,5,1,21.334525246405974,49.615174991641794,c.perim,s.c.perim,perim,med.dist
50,5,2,8.841540234061695,20.561721474562077,skew.dist,maj.min,kurt.dist,s.perim
50,5,3,4.871974310221714,11.3301728144691,solid,perim.maj,s.c.perim.perim,s.vol
50,5,4,1.499668542470667,3.4876012615596905,tx.3rd.mom,tx.gray,med.dist,tx.contrast
50,5,5,1.1511939396841933,2.677195208567891,nb.blobs,tx.3rd.mom,tx.gray,r.bbox.x
50,5,6,0.9186455484695455,2.136384996440803,mode.dist,nb.blobs,hflip,maj.ax
50,6,1,21.44312025063202,49.86772151309769,c.perim,s.c.perim,maj.ax,med.dist
50,6,2,8.305082635755413,19.31414566454746,skew.dist,kurt.dist,circ,c.perim
50,6,3,5.424163097126438,12.614332784014962,perim.maj,s.c.perim.perim,solid,area
50,6,4,1.7027734828494347,3.959938332207985,nb.blobs,med.dist,mode.dist,h90
50,6,5,1.1838104099264644,2.753047464945264,tx.gray,tx.3rd.mom,h90.h180,r.bbox.x
50,6,6,0.8996202590145351,2.0921401372431037,mode.dist,hflip,h90.h180,mean.dist
50,7,1,20.539954084554523,47.767335080359345,s.c.perim,c.perim,perim,nb.blobs
50,7,2,8.698236289778677,20.228456487857386,skew.dist,mean.dist,kurt.dist,nb.blobs
50,7,3,5.570066116139284,12.953642130556473,perim.maj,solid,h90.hflip,nb.blobs
50,7,4,1.5129735407723979,3.5185431180753435,tx.3rd.mom,tx.gray,tx.contrast,nb.blobs
50,7,5,1.228430740122636,2.856815674703804,tx.contrast,h90.h180,tx.smooth,nb.blobs
50,7,6,1.0860390351352256,2.5256721747330824,mode.dist,med.dist,tx.smooth,nb.blobs
50,8,1,20.582584693342127,47.86647603102819,c.perim,s.c.perim,perim,nb.blobs
50,8,2,8.58014432986405,19.95382402293965,skew.dist,kurt.dist,maj.min,s.c.perim
50,8,3,5.01293682692724,11.657992620761021,perim.maj,solid,s.c.perim.perim,eq.diam
50,8,4,1.9671344336662597,4.574731241084324,med.dist,nb.blobs,mean.dist,tx.entropy
50,8,5,1.4335759533842185,3.33389756600981,tx.gray,tx.3rd.mom,tx.smooth,kurt.dist
50,8,6,1.0933709414444108,2.5427231196381643,tx.3rd.mom,tx.smooth,tx.contrast,s.area
50,9,1,21.330168758202106,49.605043623725834,c.perim,s.c.perim,s.maj.ax,solid
50,9,2,8.30724338438563,19.319170661361934,skew.dist,mean.dist,maj.min,mode.dist
50,9,3,5.141146945403161,11.956155686984097,perim.maj,solid,s.c.perim.perim,s.area
50,9,4,1.8802817292840317,4.372748207637284,med.dist,nb.blobs,mean.dist,tx.entropy
50,9,5,1.1394353618775477,2.649849678784995,tx.gray,tx.3rd.mom,h90.h180,perim
50,9,6,1.0893439219914294,2.5333579581196037,tx.3rd.mom,tx.contrast,tx.gray,c.perim
